,config_id,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,scale_pos_weight,subsample,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_avg_precision,test_f1_std,train_f1,train_accuracy,overfit_gap_%
44,45,0.9985622500788556,0.21309065111798647,0.09576353462263834,9,15,800,2.081046677344466,1.103848063943802,65.63106079251784,0.8864113900084023,0.9601707083874516,0.7562231795951271,0.8383003411314902,0.795122094561087,0.9285248814863456,0.8614327014030225,0.005534200232763408,0.9636533834480454,0.9930440493715686,21.19564907575471
45,46,0.5849362972022382,0.027707944221122216,0.07291783294118846,9,9,700,1.7388572916844098,0.11109241012790205,32.81553039625892,0.5492120945506844,0.9601706362784025,0.7578227615121971,0.8351001884403081,0.7945104553860227,0.9292277506566629,0.8599649102714224,0.007363496819219558,0.9524717556926975,0.9907972653258064,19.881588623012814
46,47,0.838772902591888,0.27346443799273845,0.10026707584468593,9,12,800,0.8418024397137479,1.7496892678535703,98.44659118877676,0.9218775219936468,0.9601025988152792,0.7568588032928575,0.8358384987790763,0.7943595769808459,0.9287786757599719,0.8611720979341433,0.004691508871910329,0.9642272843317384,0.9931575247098268,21.38423357297654
47,48,0.546049377099795,0.40763816554528,0.17993683384321638,6,3,800,1.5433839832196825,0.4252819274462055,32.81553039625892,0.6920213191955502,0.9600345768040951,0.7567809151598699,0.8351023091511702,0.793951016527425,0.927484990952896,0.8579719385171746,0.007795933058130168,0.9652856878642708,0.9933674512125907,21.580005286248994
48,49,0.8180353818649125,0.11053168572686423,0.19589548297211323,8,8,900,2.329342339499174,3.2808091884053576,98.44659118877676,0.6600299162604917,0.9598756613365547,0.7555190688896893,0.8351001884403081,0.7932737439444646,0.9286715026448296,0.8605089541758015,0.006903241021403231,0.9780939020309667,0.9958695510272733,23.29840858812553
49,50,0.8622789545794092,0.155756149506993,0.15875548670893877,9,11,500,2.3337282202456104,1.9118166553081395,65.63106079251784,0.7519565126903001,0.9596940881756663,0.753434171289641,0.8370682081205049,0.7929603364948925,0.929401845283539,0.8619335725888444,0.0019557921615622675,0.9676143542489924,0.993827020852082,22.025567952883975
50,51,0.5580694801002628,0.4779594144776596,0.06965367630169704,9,6,700,2.9845739191779646,2.7269056060915124,32.81553039625892,0.6442027189093729,0.9596487341591228,0.7534259000905683,0.8360854101151848,0.7925797226530115,0.930263393519865,0.8612837948795313,0.009515074327315663,0.9484145185213846,0.989968904901043,19.66171874127003
51,52,0.9291652158904624,0.2318110371717249,0.15901154686827623,9,10,300,0.9349587499639467,2.626591322253607,32.81553039625892,0.6691154836586424,0.9594671249437099,0.7517285598676235,0.8370685110791994,0.7920348239027787,0.9291918634194039,0.8579769826073832,0.00933100404884702,0.9520553842914268,0.9907121669904843,20.20372786137625
52,53,0.9835263407130175,0.1963968879046717,0.17230216220476494,8,4,900,1.921845550646662,3.333002395233096,98.44659118877676,0.9800838923643727,0.9591040275530738,0.7494992115441684,0.8358394076551603,0.790293979208702,0.9267068967221384,0.8585638045173049,0.008026841541762135,0.9635113313550118,0.9930156823477267,21.918090824853188
53,54,0.6780336495595725,0.3944569814829335,0.054401185276819086,9,5,900,0.9601701806558729,3.815750288727806,65.63106079251784,0.56340089956338,0.9590132705888461,0.7489098833707397,0.8358394076551603,0.7899297893402611,0.931224767214113,0.8618574858230007,0.006387150746308437,0.95319722471252,0.9909447841829747,20.668600877632137
54,55,0.9936380646574723,0.07520844555176409,0.12288483591690567,9,25,900,2.4874926621195432,2.8454073458287383,32.81553039625892,0.7343465798974851,0.9587181926340709,0.7465706822811198,0.8363314125752094,0.7888396878267679,0.9284776169572039,0.859328781965158,0.003118074779352551,0.9615438197223478,0.9926241973317591,21.893438497164762
55,56,0.6791673283358368,0.4564462223682877,0.11748075270679109,8,15,800,1.7294173126732617,3.8094180593122196,32.81553039625892,0.7295620116433404,0.9586955091874912,0.7472544184596278,0.834363089936318,0.788351783971213,0.9287217362827878,0.8585449856017622,0.006326076878656795,0.9563102676024874,0.9915745653007983,21.305017258311622
56,57,0.7664235661416299,0.23566089705253418,0.19640854865756682,7,11,800,2.269617501678722,0.47624466986434744,65.63106079251784,0.7436874039606225,0.9583096613918725,0.7431657532543592,0.8375626367101109,0.7874411039187944,0.9285253450888881,0.8595848532575012,0.006567331928443169,0.970240382650748,0.9943433271145068,23.21434299304814
57,58,0.803662208396533,0.04428916981832204,0.13860573240723953,8,18,900,2.9594622047151886,1.391338304093848,65.63106079251784,0.920811003771387,0.9581508103074116,0.7419599576382918,0.8375617278340272,0.7868101799666573,0.9296121027643466,0.8613071519245619,0.006823252423227371,0.965083220483671,0.993327734900534,22.657693692342473
58,59,0.8039314120404902,0.20168215251317662,0.1385297072635581,6,4,900,2.091039041802789,2.800579915046742,32.81553039625892,0.6705746629098415,0.9581054356882828,0.7419496133870914,0.8370706317900618,0.7865435841702982,0.9291991833180339,0.85759734913053,0.0072711503134865706,0.9551317295078754,0.9913362671065518,21.43405002984238
59,60,0.8331339307395192,0.49441776569458223,0.052888267529434214,9,1,700,0.4140464610601552,0.4051930523252839,98.44659118877676,0.993668079289773,0.9581508618138754,0.7427213036916449,0.8355937081538304,0.7864114520024754,0.9285256476688843,0.8587110412427258,0.007912903986102764,0.9497465108083176,0.9902412482237313,20.76966941286711
60,61,0.7544426275871229,0.031222137486962065,0.08294993169178949,8,8,800,0.3074889875676384,2.6773247482847706,65.63106079251784,0.726107550050859,0.9577423511742623,0.7380251032001428,0.8402686637703816,0.785754900774741,0.929493563396379,0.861909614850644,0.010676686040033582,0.9534231746684734,0.9909901694253026,21.33849546829607
