,colsample_bytree,learning_rate,min_child_samples,min_child_weight,min_data_in_leaf,n_estimators,num_leaves,path_smooth,reg_alpha,reg_lambda,subsample,subsample_freq,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
264,0.8508362324072756,0.0473699784097937,5,0.4750649501138258,14,1500,16,1.6319318323978877,2.2217588503700516,2.2097899131575196,0.6965672710114227,1,530849.4597344918,41332.387036640815,1205926.144409902,210994.58722605393,306314.851400831,7157.2360247229935,673996.7516957147,20488.52271303927,73.30190074259377
423,0.5205175395924863,0.026149162893571595,9,0.36648932281029656,19,1500,19,1.2949108803953493,1.0647857543593409,3.287983513134371,0.8221729317199946,1,532113.5801848031,37112.06190929137,1207964.4684576239,211006.20953525553,310742.64484162425,7868.799032260281,674160.2168659136,18857.461300746992,71.23931620521691
835,0.7645791266452404,0.0444494543838826,11,0.03711286971003959,14,2000,12,1.4408876009539675,1.60731392585689,4.892578845707634,0.5774868203105191,1,533679.0861658247,38201.86674363476,1207489.3713862642,204816.29894659386,307770.4379588169,6281.289062660343,661034.0761925476,16456.679012985707,73.40167226757394
718,0.7392749999754115,0.03128583838575325,9,0.14974143204492343,13,2000,14,1.962630754561522,1.3130137893375842,4.525190182456367,0.6313020357109348,1,533769.9298685577,38383.930178184164,1208800.0533038494,198133.62785002985,307892.71484016965,6071.353030593655,664138.7358693223,16842.279686827547,73.36231230597427
263,0.8637818443748968,0.036940732066427576,17,0.2346485480389363,10,2000,10,1.6857646914123274,0.936872848883969,4.176842650197622,0.6103070273005428,1,534662.738558191,36313.019842521375,1205828.3061376212,187762.52935598523,315942.0531072801,4855.412638612387,666024.7838451372,20663.510467987,69.22810157742532
105,0.7753609585710944,0.023436884914376073,11,0.04720737108111483,6,2000,16,1.54204470628164,1.4525079803048695,3.3609226674763484,0.6443895587760107,1,534745.2394289211,36834.94148137376,1212773.4641096047,202420.90415789463,317849.0823477049,5808.153316074636,689271.3271203618,16527.30746732882,68.23872369842077
694,0.6839767805175851,0.031527736464890474,14,0.485571788656963,13,2000,17,0.9028983993718962,2.231890830601912,1.3444644420254952,0.7236546625851874,1,536010.5402111908,39363.20375229964,1217959.3196552247,201300.05866134568,315297.30405356246,6140.379317517225,693429.2529837566,22381.50938370528,70.00162491720315
174,0.6390286096955928,0.03425085105089925,8,0.24269440631804712,18,2000,11,1.0989738737139623,1.033456046656461,4.969934008633501,0.8708003871697181,1,536041.1767589913,35032.20664013462,1222718.6372434127,190898.68027739064,318920.32247527165,5042.657275339899,676597.1219962947,15871.799584020677,68.07996824992384
980,0.5222691259815903,0.040483318114706644,12,0.019251630502354983,15,1500,15,1.5349465356895435,1.6715736430274768,3.7819538367106014,0.7794542357727825,1,536777.9808364052,38078.92532710207,1216228.621462178,210977.15971488904,322842.6429866142,7028.829272192917,703243.232081658,19737.03619941357,66.26613382627437
414,0.8376849301144573,0.025748966907941994,13,0.16114945792984717,8,1000,19,0.9079979080165341,0.5223266519230674,4.913419148227426,0.886298883927899,1,536818.9892620753,35923.83747360428,1206413.7586191795,219757.37917761228,324033.8329949878,8540.270276564834,686279.7771824953,17564.294376652277,65.66757375313304
