,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
869,0.8891356815600848,0.01624329834508248,0.18858305233121636,7,2,600,3.1118796573658707,0.7723951490628762,472710.2698761017,31750.990304102717,1159438.561580366,199466.4323923839,167693.18556526376,2266.587657825431,311705.64246198256,3580.9504644948925,181.88996963870645
671,0.6215127856709511,0.01104292265058987,0.11738835835982939,12,17,1000,0.6918410044409501,0.8952673082147374,473118.5816846906,44012.23369279496,1162686.4591733897,226734.87013513572,166105.37631292496,2373.5438438892293,343354.58211018157,21779.842545958913,184.83038429375415
101,0.8975785170290708,0.01676621736788969,0.18096690546139496,10,10,300,0.5145801537207251,0.8145925405938379,473229.45701771183,27579.08422809918,1162832.2814900393,177078.07350534,171754.6462594743,4044.821897534017,333374.3210893565,18803.488568664114,175.52643688182474
346,0.8828345909066793,0.02511300573198688,0.03187055061037105,13,15,800,4.317003834285009,0.7605224096878849,479797.7065723703,33325.3497858752,1159005.2395328432,193164.33391725068,213169.53063725174,5032.704865582148,501281.2978102861,12767.549279700812,125.07799549872671
512,0.6201398107877413,0.02638262892980131,0.2176033767839964,12,8,900,3.0698515316261634,0.7011432473000445,481841.30102603894,35186.43575316902,1151853.607195593,208991.10539471198,195056.35581251822,3887.1993998611247,385425.1914890484,12919.79009712382,147.02671134139766
646,0.9043543910686038,0.021369803030975687,0.2693957063808237,11,5,300,4.777240957190338,0.698784466796757,482610.120516117,38365.44208230326,1170335.3410457592,166349.49687801435,179007.37977359316,3804.437596435904,353475.08138652175,15158.700936052608,169.60347731278884
466,0.9896990616579024,0.03490032730731446,0.1764063129340259,6,7,800,2.069137326603979,0.6816666236672972,485584.9282805018,34939.309429838046,1140221.6263175893,174220.20165725294,214919.74667930562,5065.019046898066,393322.9215869626,11315.358207254974,125.93779109793553
990,0.6936231100069996,0.024890500761521883,0.09055002285924861,12,11,800,1.981386312458503,0.8775453369313577,486377.76493875077,38295.49227218392,1173376.6778568276,214564.27823215886,210253.59481348735,3427.1486982260776,461534.2209195056,21120.54606586641,131.32910777112224
348,0.6877095847695502,0.01683458910693636,0.07438842197764084,8,17,1000,2.2697342405417853,0.9285727966570373,486732.0734264632,30353.13602485097,1166075.6267756973,198343.12294209335,222749.89986508348,5149.374775200383,451105.1751194643,18891.679769088285,118.51056890318246
663,0.952358064217901,0.024802954174741376,0.08711880765676261,10,19,500,4.596040155268626,0.7695080479723694,487916.14457951253,33271.250127881176,1163404.8966001489,198404.07611463108,211988.2908079053,4420.029667158504,455342.93402984703,11457.205144246424,130.16183710903223
408,0.8710163782014135,0.03605554646471759,0.0716204225434088,12,4,300,3.208671986492791,0.8685916594668828,488402.46180003847,37574.819967251824,1163244.7637276608,223694.74071196347,224756.28372949455,4061.69586363562,520816.7737578427,11863.926497865677,117.303139959306
