,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
161,0.7874157667074337,0.47215181747891494,0.0406580859081157,14,7,900,3.468411128907443,0.6883078451155041,83315.95147579836,557.1985523832144,407454.0482682097,18864.3644637775,48498.2028747535,1033.1788481950987,199559.10557188487,7240.565828741335,71.79183255709827
279,0.6505015131170454,0.3298146831973711,0.058485943385761435,14,8,500,3.7536475349967358,0.823192295513056,83521.41264446947,399.3232656037369,408406.6868301159,19461.659057969206,53542.998969446926,948.9233827275784,227467.77014493337,5512.641688290962,55.989418321766095
249,0.8703929102345421,0.24802391933994328,0.013814466996068055,10,3,500,4.079734694843086,0.9445479985453744,83999.68351440063,205.42909288490978,469262.81896866165,16613.856201811384,74139.79582471734,631.5641114674404,389867.25656381546,6662.256016657745,13.299048884615527
289,0.9952262266611096,0.4506480053873244,0.20550037561192777,14,2,1000,4.141246262186092,0.734083218948349,84069.50796541861,933.7176026625424,426583.10128946975,12954.860595042379,11951.846312248346,955.4393788501974,85074.11184989846,9566.893426741713,603.4018491290632
106,0.6275686157468875,0.03866053274439363,0.04127408981554285,14,11,300,0.5661902292037763,0.9939364795849338,84203.83699648957,380.5443933683853,433415.741447539,19849.32768245765,66184.10428501236,114.43917323780701,323189.2939355664,3670.528526816484,27.22667762319153
11,0.7243929286862649,0.16259166101337352,0.22888185350141924,13,3,300,1.914634373768949,0.9886848381556415,84345.50212893121,748.5027073998963,423497.1433829211,18444.204452234357,24060.151932716155,826.1432926666985,102229.5360578333,7209.697161967562,250.56097054084327
124,0.9657195226241996,0.05887554144507057,0.18295494265427606,11,2,300,2.0262404401384435,0.7989859575919562,85471.19147803975,553.7397402779328,421812.86885699513,18148.26381996719,43747.69718765256,1358.3535944726566,152165.76850198884,8452.983066614142,95.3730069754696
226,0.9902440803439659,0.320486038672666,0.2567441690903083,14,1,800,3.031854722166878,0.6556792098470119,86246.3092901995,984.3794824451397,431807.35311550734,13732.869304885693,12525.592459605634,1297.307578867647,85240.44785344326,9464.356016492626,588.5607173340442
222,0.7440545629886076,0.04382137338191927,0.2910873469093188,14,1,600,4.126430541164484,0.7118814153885917,86379.09799978854,793.2998251179044,425051.96185780904,14569.895003464675,12899.6659133741,836.3446134805364,85613.92770728563,9265.649546102353,569.6227528670531
192,0.7231719766364764,0.35234038136832335,0.0705560356368845,12,8,500,0.9417454188280072,0.8923317899483505,86869.6885131632,590.9370104382992,413163.01750344766,18716.176077427066,57370.53528986488,1321.8669350251994,232578.9787003117,7203.395759197439,51.418647349643365
288,0.751610850487639,0.4867286949880866,0.11105215055833097,14,6,500,0.5537422265947906,0.9038329640458527,88096.06411353957,707.2292692736422,416861.3007344825,16501.72391657445,32156.348410560764,1370.4999686115968,122027.82701313944,7428.04028559547,173.96165444148232
54,0.7190540698037243,0.04999244358093169,0.02604558902421067,14,19,800,1.7745259523136032,0.9827203540505826,88123.51463188366,489.40864328611167,434587.62162425416,18736.13461294466,69245.11678851175,523.5733089261055,325458.1602051768,5804.625967411719,27.263146802149627
180,0.8019379527572071,0.2716502616816442,0.1641987603426175,14,4,500,3.6262883020756824,0.7946675765698812,88312.11904584436,1043.882966466906,418726.472746815,15227.458717894928,25934.424150785515,808.7257607021352,104485.428310428,8114.509080531681,240.52084030240368
209,0.9623564419151042,0.38497235012583947,0.17699111738101517,10,4,500,3.6597903379281727,0.9404697043411083,88366.57018918362,689.2436703466284,422741.2381608686,18217.286966104475,48086.38800839291,2374.3842050415374,171259.73924556852,9031.25828319531,83.76628781883197
95,0.9731752268399818,0.4954647382286953,0.07150054301597117,8,3,300,3.7056032464502953,0.8297892452719647,89055.56157867929,717.204189065303,463255.8467316747,19188.620896013468,77213.76129854778,1201.7172456596468,370078.5218769719,8399.150630054452,15.336385743915626
