,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
457,0.9135089556068997,0.21449246592044524,0.07031954561498353,13,8,900,2.182097993647965,0.8667087639135589,2709.6751291761266,0.6991172836078996,7673.369476782427,123.81041380745104,1030.5070927565723,21.739543442658675,2110.3228435450706,73.61498188609313,162.94580097724852
371,0.8313193597681443,0.07348135479410484,0.25333713098004124,13,4,800,3.2140945740008715,0.9239440749442345,2709.8403230958234,4.94553460043497,7880.5550728376975,113.96713315973392,424.5765806435656,12.365068582224552,1142.0000804527526,34.00415380135866,538.2453594092015
11,0.7243929286862649,0.16259166101337352,0.22888185350141924,13,3,300,1.914634373768949,0.9886848381556415,2710.587288033349,7.516794945288306,7884.763527145414,104.7923566675586,588.0048885365755,13.607696029388125,1322.567875478572,25.728455910780628,360.98040014249693
407,0.764662184182681,0.4674972159193827,0.139162062852157,10,1,1000,0.41959767910714707,0.7333850374384042,2718.443344129459,10.509444022165846,7668.291030137371,108.40361281163231,985.1435225902648,17.70413554520401,1754.1863174100383,47.627895939286525,175.9438885596874
434,0.7539214468884413,0.24468822448533512,0.13888257763970902,12,8,900,3.5936980892676513,0.8929604196233516,2719.398890885647,7.781709938857186,7646.760601677653,142.09039705280136,875.3946514301336,15.39156415016042,1776.3458693440991,44.91983861742456,210.6483328911092
479,0.6329089297108247,0.22979202860681153,0.10193904041284609,14,10,900,2.09303637459165,0.7833725696525752,2721.7235304333913,9.241136107165252,7574.226659169573,170.93695848676117,937.0875975835394,24.387242200318695,1940.3821501418563,69.85791075222762,190.44494212194024
36,0.9652962210225885,0.2556711994304689,0.16045488840615987,9,1,1000,3.978963347180505,0.9560021367270265,2722.7458616854024,2.083350169035764,7585.781841364264,140.8314728338388,1101.8021988767919,13.795087641129463,2053.8601636669828,33.49580630306485,147.11748301655652
440,0.9059203889837109,0.33944886253892026,0.24189601639167602,12,1,300,3.0566830110832344,0.9429235609443364,2726.7565689759576,3.528711676168812,7933.085912962034,176.70619345428653,724.1146799368453,13.638727927242904,1467.4589607046364,31.22347293601111,276.5641885914778
477,0.6680461669237125,0.44911903197661757,0.24304099964196638,11,2,600,2.8170418224192706,0.9215219561933901,2728.5898645266475,13.218592572500597,7801.053764912994,141.52470077566718,728.4179868150941,16.133081308494525,1479.377082823903,48.00028761158764,274.5912256309081
324,0.8383955368733927,0.050629957307579465,0.2641418469081355,13,2,800,2.901107593925147,0.823875377935176,2728.996041477067,8.712558622002753,8027.953723057632,131.39522919446722,458.94001734229346,13.557040154413505,1166.1654175242431,31.75848255215935,494.630221456955
430,0.969824422150722,0.22165325475858766,0.17601405635972428,14,13,1000,4.5689422193662965,0.9811260068010024,2731.055895422766,6.244397648610871,7835.669848941984,114.295624844012,482.2916596431667,5.024461289363748,1238.53710670096,28.503469780293635,466.26645740533706
222,0.7440545629886076,0.04382137338191927,0.2910873469093188,14,1,600,4.126430541164484,0.7118814153885917,2735.171507032974,10.102446658614749,7982.086958232426,167.91952886643554,450.18857931587155,11.26104147155657,1163.359373862658,32.67309981758227,507.5612826939044
359,0.8878615266442121,0.18558080739287092,0.27092895300451325,11,1,800,3.389066001550221,0.843100848901089,2737.331793296404,6.720228082550703,7900.049948942212,68.46270942363996,652.0582926576857,16.88222949711743,1357.0313531852732,38.88097947602801,319.79863213447925
